label,text
spam,Congratulations! You've won a free iPhone. Click here to claim now!
spam,URGENT! Your account has been compromised. Reset your password immediately!
spam,"Get rich quick! Earn $10,000 per week working from home."
spam,Exclusive offer for you: Buy 1 get 1 free. Limited time only!
spam,You have an unclaimed reward waiting for you. Act fast!
spam,Win a free vacation to the Bahamas! Just enter your details.
spam,Final notice: Your loan approval is pending. Apply now!
spam,Your Netflix account is suspended. Click this link to reactivate.
spam,You've been selected for a $500 Walmart gift card!
spam,Hot deal: 70% off all electronics! Shop now.
spam,Claim your free cryptocurrency airdrop before it's too late!
spam,Important: Your social security number has been flagged. Contact us now!
spam,"Earn $5,000 weekly by working just 2 hours a day!"
spam,Limited offer: Subscribe now and get a free 1-year membership!
spam,"Congratulations, you've won a free cruise! Confirm your details."
spam,Your PayPal account has been locked. Click here to secure it.
spam,Special promotion: Save 50% on all purchases this weekend!
spam,Your Amazon order needs verification. Click here to confirm.
spam,Exclusive deal: Get a $1000 gift card by completing this survey.
spam,Investment opportunity: Double your money in just 24 hours!
spam,Act now! This limited-time mortgage offer expires soon.
spam,Hurry! Your free trial is about to expire. Renew today!
spam,Click here to unlock secret discounts on luxury brands.
spam,Final reminder: Your extended car warranty is about to expire!
spam,You are a lucky winner of a brand-new Tesla Model S!
spam,Massive discount on Ray-Ban sunglasses! Buy now!
spam,"Dear user, your ATM card has been blocked. Click to reactivate."
spam,Make $500 daily with zero investment! Click to learn more.
spam,Your bank account is under review. Update details now!
spam,Congratulations! You've won a new MacBook Pro. Claim now!
spam,Instant approval: Get a credit card with no credit check!
spam,Breaking news: This stock will skyrocket soon! Invest today!
spam,Download this app and earn money while you sleep!
spam,"Your phone number has been selected for a $1,000 reward!"
spam,Limited-time deal: 90% off on all premium software!
spam,Earn unlimited cash by signing up for our referral program!
spam,Alert! Your system has been infected with a virus. Click to fix.
spam,Last chance to claim your holiday prize! Don't miss out.
spam,Special giveaway: Win an all-expenses-paid trip to Dubai!
spam,Click now to access your free government grant money!
spam,"You've been pre-approved for a $50,000 personal loan!"
spam,Hurry! Your credit score is dropping. Fix it now!
spam,Free Bitcoin giveaway! Get yours before it's gone!
spam,Act fast! Your unpaid toll charges need immediate payment.
spam,"Dear user, confirm your email to receive a $500 bonus!"
spam,Be a millionaire overnight! Sign up for this program today!
spam,Increase your followers instantly with this new tool!
spam,Shocking secret revealed: Doctors hate this simple trick!
spam,Get your free trial of this amazing weight loss supplement!
spam,"Hi, how are you doing today?"
ham,Are we still on for lunch tomorrow?
ham,"Mom, I'll call you back in 10 minutes."
ham,Can you send me the report by EOD?
ham,"Hey, did you watch the game last night?"
ham,Meeting at 3 PM in the conference room.
ham,Your package has been delivered. Check your mailbox.
ham,Happy birthday! Hope you have a great day!
ham,Let's catch up over coffee this weekend.
ham,How was your trip to Italy?
ham,Just checking in. Haven't heard from you in a while.
ham,I'll pick you up from the airport at 6 PM.
ham,Don't forget to submit your assignment by Friday.
ham,Hope you are feeling better today.
ham,Dinner at my place tonight. Let me know if you can make it.
ham,See you at the gym later!
ham,Your order has been shipped. Tracking details enclosed.
ham,Great job on the presentation today!
ham,Let's plan a weekend getaway soon.
ham,Need help with anything? Just let me know.
ham,Remember to pay the electricity bill before due date.
ham,"Hey, I found this book you might like!"
ham,Looking forward to our hiking trip next month.
ham,Check your email for the latest updates.
ham,Letâ€™s schedule a call to discuss the project.
ham,Happy anniversary! Hope you have a wonderful day.
ham,Thanks for your help with the project!
ham,Got your message. I'll call you back soon.
ham,Don't forget about our dinner reservation at 7 PM.
ham,Excited for the concert this weekend!
ham,"I'll be late to the meeting, traffic is bad."
ham,Let's go for a run in the morning.
ham,See you at the team event tomorrow.
ham,Hope you had a fantastic weekend!
ham,Have you seen the latest movie release?
ham,Check out this new cafe I found!
ham,Congratulations on your promotion!
ham,Let me know when you're free for a call.
ham,Just wanted to say hi! It's been a while.
ham,Good luck with your interview!
ham,Thanks for the recommendation!
ham,Do you need a ride to the airport?
ham,Hope your day is going well!
ham,Looking forward to our vacation next month.
ham,We should plan a road trip soon.
ham,Enjoy your weekend!
ham,Thanks for the invite! I'll be there.
ham,Let me know if you need any help moving.
ham,Hope to catch up with you soon.
ham,Have a safe flight!
ham,Take care and talk soon.
